id,question,slug,start_date,end_date,volume,liquidity,active,closed,yes_percentage,no_percentage,outcome_details,total_volume,total_liquidity,end_date_iso,volume_24hr,spread,one_day_price_change,last_trade_price,bestBid,bestAsk
75,"Will the Ethereum 2.0 Genesis Event happen successfully on December 1st, 2020?",will-the-ethereum-20-genesis-event-happen-successfully-on-december-1st-2020,,,,,True,True,99.99991353509499,8.64649050133305e-05,Yes: 100.00% | No: 0.00%,560270.42,7.88,2022-01-16,0,1,0,0,0,1
8938,"Will ETH be above $1,500 on January 27th?",will-eth-be-above-1-500-on-january-27th,,,,,True,True,0.000369905732934354,99.99963009426706,Yes: 0.00% | No: 100.00%,759196.24,0,,0,1,0,0,0,1
61328,"Will ETH be above $1500 on February 3rd, 2021?",will-eth-be-above-1500-on-february-3rd-2021,,,,,True,True,99.99962268908867,0.00037731091133306886,Yes: 100.00% | No: 0.00%,685915.48,0.01,2021-02-03,0,1,0,0,0,1
71914,"Will ETH be above $2000 on March 1st, 2021?",will-eth-be-above-2000-on-march-1st-2021,,,,,True,True,8.593621343575976e-05,99.99991406378656,Yes: 0.00% | No: 100.00%,747989.6,20.48,,0,1,0,0,0,1
79704,Will the average Ethereum gas price be below 165 Gwei on February 16?,will-the-average-ethereum-gas-price-be-below-165-gwei-on-february-16,,,,,True,True,2.7502808251266837e-05,99.99997249719175,Yes: 0.00% | No: 100.00%,94610.61,1,2021-02-16,0,1,0,0,0,1
98033,"Will ETH be above $2000 on April 1st, 2021?",will-eth-be-above-2000-on-april-1st-2021,,,,,True,True,9.080077097693851e-06,99.9999909199229,Yes: 0.00% | No: 100.00%,200394.99,0,,0,1,0,0,0,1
98685,"Will ETH be above $1500 on March 7th, 2021?",will-eth-be-above-1500-on-march-7th-2021,,,,,True,True,99.99984616737544,0.00015383262455881757,Yes: 100.00% | No: 0.00%,451637.39,1.68,2021-03-07,0,1,0,0,0,1
101793,"Will ETH be above $1750 on March 22nd, 2021?",will-eth-be-above-1750-on-march-22nd-2021-1,,,,,True,True,99.99999045917075,9.540829257987899e-06,Yes: 100.00% | No: 0.00%,354495.5,100.04,2021-03-22,0,1,0,0,0,1
101817,Will the average Ethereum gas price be below 130 Gwei on March 20?,will-the-average-ethereum-gas-price-be-below-130-gwei-on-march-20,,,,,True,True,1.644404814478466e-05,99.99998355595186,Yes: 0.00% | No: 100.00%,22745.07,655.14,2021-03-20,0,1,0,0,0,1
107931,Will the average Ethereum gas price be below 150 Gwei on April 5?,will-the-average-ethereum-gas-price-be-below-150-gwei-on-april-5,,,,,True,True,99.99999179047649,8.209523520856717e-06,Yes: 100.00% | No: 0.00%,53373.66,998,2021-04-05,0,1,0,0,0,1
118045,Will the average Ethereum gas price be below 170 Gwei on April 19?,will-the-average-ethereum-gas-price-be-below-170-gwei-on-april-19,,,,,True,True,1.213036580215343e-05,99.9999878696342,Yes: 0.00% | No: 100.00%,22883.31,143.82,2021-04-19,0,1,0,0,0,1
125038,"Will Binance Coin (BNB) have a higher market cap than Ethereum (ETH) at any time before July 1, 2021?",will-binance-coin-bnb-have-a-higher-market-cap-than-ethereum-eth-at-any-time-before-july-1-2021,,,,,True,True,1.5005099029136389e-05,99.99998499490097,Yes: 0.00% | No: 100.00%,6965.52,799.61,2021-07-01,0,1,0,0,0,1
142028,"Will the average Ethereum gas price be below 150 Gwei on May 4, 2021?",will-the-average-ethereum-gas-price-be-below-150-gwei-on-may-4-2021,,,,,True,True,99.99991184472466,8.815527533431024e-05,Yes: 100.00% | No: 0.00%,10166.57,0,2021-05-04,0,1,0,0,0,1
201776,Will Tesla announce that it has bought Ethereum by July 25?,will-tesla-announce-that-it-has-bought-ethereum-by-july-25,,,,,True,True,1.648365017118931e-05,99.99998351634983,Yes: 0.00% | No: 100.00%,10484.8,1512.51,2021-07-26,0,1,0,0,0,1
213595,Will Ukraine or the Netherlands win their Euro 2020 match?,will-ukraine-or-the-netherlands-win-their-euro-2020-match,,,,,True,True,,,Ukraine: 0.00% | Netherlands: 100.00%,12635.13,1054.07,2021-06-13,0,1,0,0,0,1
213638,Will the Netherlands be the Group C winner in the Euro 2020?,will-the-netherlands-be-the-group-c-winner-in-the-euro-2020,,,,,True,True,99.99998512671675,1.4873283248838038e-05,Yes: 100.00% | No: 0.00%,2961.37,1400.54,2021-07-01,0,1,0,0,0,1
215348,What will the price of $ETH be on June 22?,what-will-the-price-of-eth-be-on-june-22,,,,,True,True,,,Long: 0.00% | Short: 100.00%,1361588.14,99674.15,2021-06-22,0,1,0,0,0,1
218553,Will the Netherlands or Austria win their Euro 2020 match?,will-the-netherlands-or-austria-win-their-euro-2020-match,,,,,True,True,,,Netherlands: 100.00% | Austria: 0.00%,710.49,175.38,2021-06-17,0,1,0,0,0,1
219156,Will the Netherlands or the Czech Republic qualify for the Euro 2020 Quarterfinals?,will-the-netherlands-or-the-czech-republic-win-their-euro-2020-match,,,,,True,True,,,Netherlands: 0.00% | Czech Republic: 100.00%,3578.81,22.09,2021-06-27,0,1,0,0,0,1
222356,Will $ETH (Ethereum) be above $2500 on July 22?,will-eth-ethereum-be-above-2500-on-july-22,,,,,True,True,0.0001011818234406525,99.99989881817656,Yes: 0.00% | No: 100.00%,71080.37,0,2021-07-22,0,1,0,0,0,1
222641,"Will EIP-1559 be implemented on the Ethereum mainnet before August 5, 2021?",will-eip-1559-be-implemented-on-the-ethereum-mainnet-before-august-5-2021,,,,,True,True,1.3548413335681113e-05,99.99998645158666,Yes: 0.00% | No: 100.00%,1729033.09,494.3,2021-08-05,0,1,0,0,0,1
222995,What will the price of $ETH be on July 19?,what-will-the-price-of-eth-be-on-july-19,,,,,True,True,,,Long: 41.27% | Short: 58.73%,206689.99,0,2021-07-19,0,1,0,0,0,1
224612,Will the floor price of CryptoPunks be below 19.5 ETH on August 10? ,will-the-floor-price-of-cryptopunks-be-below-195-eth-on-august-10,,,,,True,True,0.1692047377326565,99.83079526226734,Yes: 0.17% | No: 99.83%,41077.33,0,2021-08-10,0,1,0,0,0,1
225509,"Will EIP-1559 be implemented live on Ethereum mainnet by 10 AM ET on August 5, 2021?",will-eip-1559-be-implemented-on-the-ethereum-mainnet-by-10am-aug5,,,,,True,True,99.99999429294132,5.707058685965026e-06,Yes: 100.00% | No: 0.00%,210239.42,5199.02,2021-08-05,0,1,0,0,0,1
226967,What will the price of $ETH be on August 11?,what-will-the-price-of-eth-be-on-august-11,,,,,True,True,,,Long: 71.99% | Short: 28.01%,31961.65,0,2021-08-11,0,1,0,0,0,1
